2026-05-31 13:02:41 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:02:41 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:02:41 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:02:43 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:02:43 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:02:43 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:02:45 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:02:45 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:02:45 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:02:47 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:02:47 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:02:47 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:02:50 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:02:50 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:02:50 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:02:52 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:02:52 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:02:52 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:02:54 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:02:54 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:02:54 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:02:57 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:02:57 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:02:57 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:02:59 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:02:59 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:02:59 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
